brand,eans,file_urls,files,model,model_2,product,product_lang,source,thumb,type,url
Tp-link,,"https://static.tp-link.com/2017/201712/20171229/Archer C4000 Datasheet 2.0.pdf,https://static.tp-link.com/2020/202011/20201116/1910012751_Archer C4000_UG_REV3.2.0.pdf,https://static.tp-link.com/2020/202005/20200522/7106508769_Archer A20&Archer C4000_QIG_V1 (1).pdf",,Archer C4000,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer_C4000_normal_1577081823210p.png,Datasheet,https://www.tp-link.com/en/support/download/archer-c4000/v2/
Tp-link,,https://static.tp-link.com/2020/202005/20200521/1910012704_Archer A20(US)_UG_REV1.1.0.pdf,,Archer A20,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer-C3200(UN)_normal_1584496904769f.png,User Guide,https://www.tp-link.com/en/support/download/archer-a20/v3/
Tp-link,,https://static.tp-link.com/2020/202005/20200521/1910012704_Archer A20(US)_UG_REV1.1.0.pdf,,Archer A20,,Routers Wi-Fi Routers,en,tp-link.com,,User Guide,https://www.tp-link.com/en/support/download/archer-a20/v1.8/
Tp-link,,"https://static.tp-link.com/res/pmpo/files/Archer C5400/Archer C5400 Datasheet 1.0.pdf,https://static.tp-link.com/Archer_C5400(EU)_V1_UG_1474247131067w.pdf,https://static.tp-link.com/res/down/doc/Archer_C5400(UN)_V1_QIG.pdf",,Archer C5400,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer-C5400_normal_1584496752671z.png,1.0,https://www.tp-link.com/en/support/download/archer-c5400/v1/
Tp-link,,"https://static.tp-link.com/2019/201901/20190118/Archer C2300(US) Datasheet 1.0.pdf,https://www.tp-link.com/us/user-guides/Archer-C2300&A2300_V1/,https://static.tp-link.com/Archer C2300_V1_Quick Installation Guide.pdf",,Archer C2300,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer_C2300-01_1492485072613a.jpg,Datasheet,https://www.tp-link.com/en/support/download/archer-c2300/v1/
Tp-link,,https://static.tp-link.com/2020/202005/20200521/1910012704_Archer A20(US)_UG_REV1.1.0.pdf,,Archer A20,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/1_1550039808807l.jpg,User Guide,https://www.tp-link.com/en/support/download/archer-a20/v1/
Tp-link,,https://static.tp-link.com/2020/202005/20200521/1910012704_Archer A20(US)_UG_REV1.1.0.pdf,,Archer A20,,Routers Wi-Fi Routers,en,tp-link.com,,User Guide,https://www.tp-link.com/en/support/download/archer-a20/v3.8/
Tp-link,,"https://static.tp-link.com/2020/202003/20200320/Archer C4000(EU)3.0_Datasheet.pdf,https://static.tp-link.com/2020/202005/20200522/7106508769_Archer A20&Archer C4000_QIG_V1 (1).pdf,https://static.tp-link.com/2020/202011/20201116/1910012751_Archer C4000_UG_REV3.2.0.pdf",,Archer C4000,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer-C3200(UN)_normal_1584496904769f.png,Datasheet,https://www.tp-link.com/en/support/download/archer-c4000/v3/
Tp-link,,"https://static.tp-link.com/2020/202010/20201015/Archer C2300(EU&US)2.0_Datasheet.pdf,https://static.tp-link.com/2020/202011/20201116/1910012713_Archer C2300(EU)2.0_UG_V1.pdf,https://static.tp-link.com/2019/201908/20190822/7106508438_Archer C2300_QIG_V1.pdf",,Archer C2300,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer_C2300_2.0_normal_1585904827145s.png,Datasheet,https://www.tp-link.com/en/support/download/archer-c2300/v2/
Tp-link,,"https://static.tp-link.com/2020/202010/20201015/Archer AX20(EU&US)1.0_Datasheet.pdf,https://www.tp-link.com/us/user-guides/archer-ax20&ax1800_v1/?modelName=Archer%20AX20,https://static.tp-link.com/2020/202005/20200521/7106508717_Archer AX20&Archer AX1800_QIG.pdf",,Archer AX20,,Routers Wi-Fi Routers,en,tp-link.com,https://static.tp-link.com/Archer-AX1800&AX20_normal_1619084440994p.png,Datasheet,https://www.tp-link.com/en/support/download/archer-ax20/v1/
